transaction_id,customer_id,card_number,card_last_four,merchant_name,merchant_category,amount,currency,transaction_date,transaction_time,status,description,location,mcc_code,auth_code
TXN000016,CUST3741,4111073920028064,1068,Target,Restaurants,58.7,USD,2025-07-30,07:02:36,Posted,Target - Opportunity,"Lake Brandonfurt, FM",6098,QYWYMC
TXN000017,CUST8830,5105599381327571,1605,LinkedIn,Restaurants,56.0,USD,2025-07-15,01:05:07,Posted,LinkedIn - Every,"Russellmouth, VI",6261,RYRD5U
TXN000018,CUST9311,5555141467696721,0222,Spotify,Gas,11.0,USD,2025-09-12,02:02:58,Authorized,Spotify - Career,"Robinhaven, IL",7006,1B2L9V
TXN000019,CUST3672,5105820741800733,9560,Walmart,Shopping,195.92,USD,2025-08-03,19:07:10,Pending,Walmart - Page,"New Kevin, GU",8122,PQ01K5
TXN000020,CUST6725,4111612562151793,0342,PayPal,Shopping,89.43,USD,2025-07-08,16:02:45,Posted,PayPal - Moment,"Carlsonbury, KY",1457,D6XK0J
TXN000021,CUST6596,3714557232565426,6990,GitHub,Subscriptions,57.29,USD,2025-08-22,11:30:23,Pending,GitHub - Wish,"Port Jeffrey, UT",9280,OP84VO
TXN000022,CUST9078,5555286188559029,9927,Costco,Subscriptions,39.28,USD,2025-09-21,02:33:42,Authorized,Costco - Democratic,"Gabrielville, MS",7485,AXCDVB
TXN000023,CUST3417,3714236968789736,8178,Best Buy,Entertainment,244.92,USD,2025-09-21,14:49:03,Pending,Best Buy - Last,"West Jennifer, VA",2082,9BHJ16
TXN000024,CUST2577,4532255461748216,9239,Stripe,Technology,101.12,USD,2025-09-11,11:08:04,Authorized,Stripe - Most,"New Jeanside, ME",8144,FBU0Y9
TXN000025,CUST3811,5105360322986690,8037,Google,Restaurants,25.41,USD,2025-08-27,02:34:04,Pending,Google - Stand,"South Mollyberg, ME",9515,LI6344
TXN000026,CUST7987,3714145784244790,9436,Best Buy,Technology,265.6,USD,2025-09-17,08:51:53,Posted,Best Buy - Official,"Lake Daniel, WI",9530,KTYSPJ
TXN000027,CUST7363,3714452913772925,8903,Twitter,Entertainment,115.27,USD,2025-08-01,01:31:54,Pending,Twitter - Good,"Port Nicholas, AZ",2823,QMXDAQ
TXN000028,CUST2148,4111048321343145,6888,Venmo,Technology,196.6,USD,2025-09-20,23:09:09,Authorized,Venmo - While,"Rachelberg, PA",3001,N1CBI3
TXN000029,CUST4779,5105132697028255,5784,Venmo,Restaurants,197.45,USD,2025-09-18,15:50:44,Authorized,Venmo - Sign,"Huntborough, ND",8286,FMSNWX
TXN000030,CUST8086,5555858694353530,5991,Microsoft,Subscriptions,125.24,USD,2025-08-15,08:27:14,Authorized,Microsoft - Affect,"Melissaland, ID",1455,VZ70NJ
TXN000031,CUST5800,5555339434426800,2010,Stripe,Groceries,49.83,USD,2025-09-14,02:36:43,Posted,Stripe - Affect,"Nataliehaven, PA",4795,HZA7C2
TXN000032,CUST2194,5105994581827322,8874,DoorDash,Technology,93.54,USD,2025-09-23,20:05:27,Authorized,DoorDash - Air,"Brownbury, WI",8867,Y5WYI0
TXN000033,CUST8283,4532354796939287,3552,Starbucks,Gas,11.67,USD,2025-09-14,08:59:52,Pending,Starbucks - Another,"Troyhaven, GU",3061,JHBI5R
TXN000034,CUST6006,5555193464840882,1421,Walgreens,Restaurants,152.8,USD,2025-09-21,13:54:05,Pending,Walgreens - Ten,"Port Melaniemouth, NM",9860,71VGWJ
TXN000035,CUST5094,4532119298826972,8078,Shell,Transportation,179.45,USD,2025-09-12,21:14:32,Pending,Shell - Continue,"South Kathryn, ND",6289,6I5A98
TXN000036,CUST6001,5105041286490238,7980,Home Depot,Gas,69.48,USD,2025-08-29,01:11:13,Authorized,Home Depot - Industry,"Tinaside, RI",1787,5MVYTQ
TXN000037,CUST5664,5105523089595709,5631,Walgreens,Shopping,159.09,USD,2025-09-30,15:50:23,Posted,Walgreens - Choice,"North Kaylastad, TX",7275,SJ5Q7Q
TXN000038,CUST8696,3714719227322354,0958,Exxon,Entertainment,167.69,USD,2025-09-18,02:38:01,Authorized,Exxon - Reveal,"Lake Chadchester, PR",6065,HX7QTN
TXN000039,CUST1164,4111239927383540,9240,Amazon,Utilities,281.94,USD,2025-07-11,11:47:45,Authorized,Amazon - Coach,"Smithtown, AZ",8668,WMH3AX
TXN000040,CUST9636,5105962719833630,8593,Grubhub,Restaurants,31.47,USD,2025-07-27,21:44:19,Pending,Grubhub - Effort,"West Douglaschester, AL",7019,5SSK01
TXN000041,CUST4676,5555041338728282,4149,LinkedIn,Subscriptions,156.92,USD,2025-08-28,23:07:07,Posted,LinkedIn - Resource,"Frederickfort, MS",8972,ST1TRL
TXN000042,CUST6708,3782858708753723,9697,Amazon,Healthcare,480.98,USD,2025-08-19,22:23:24,Posted,Amazon - Save,"Amyhaven, SD",3627,6GMRV7
TXN000043,CUST7489,4532669285525995,4150,Square,Restaurants,75.9,USD,2025-09-02,22:12:43,Pending,Square - Indeed,"Jeanneborough, NE",7197,Y6SMZX
TXN000044,CUST5740,5105109350246719,3090,Amazon,Gas,116.25,USD,2025-09-05,16:41:55,Pending,Amazon - Early,"North Richard, WY",4485,MVHQ88
TXN000045,CUST9067,5555645920983410,7395,Amazon,Groceries,243.95,USD,2025-08-06,02:48:28,Posted,Amazon - What,"Thompsonport, FL",7298,LFJTIP
TXN000046,CUST6206,5105575938114207,3040,Walgreens,Entertainment,73.03,USD,2025-07-27,07:29:30,Posted,Walgreens - Rate,"Audreystad, MO",2521,79H87V
TXN000047,CUST9011,4111853613175749,6165,Target,Gas,98.72,USD,2025-07-24,18:38:40,Authorized,Target - Question,"Vazquezland, NY",7257,HNK7HL
TXN000048,CUST8806,4111003239957121,7431,Microsoft,Restaurants,12.89,USD,2025-09-14,17:55:44,Posted,Microsoft - May,"Pamelabury, AR",6056,48ERY0
TXN000049,CUST5904,4532315408136304,0496,Walmart,Technology,149.69,USD,2025-08-08,10:26:00,Posted,Walmart - Mind,"New Angela, IA",8577,TF6Y5I
TXN000050,CUST3468,4532898901970641,0306,Amazon,Subscriptions,193.7,USD,2025-07-06,17:12:59,Pending,Amazon - Important,"Denisemouth, CA",3957,B2FDN5
